Holiday,Date,Day
Republic Day,January 26 2023,Thursday
Holi,March 07 2023,Tuesday
Ram Navami,March 30 2023,Thursday
Mahavir Jayanti,April 04 2023,Tuesday
Good Friday,April 07 2023,Friday
Dr. Baba Saheb Ambedkar Jayanti,April 14 2023,Friday
Maharashtra Day,May 01 2023,Monday
Bakri Id,June 29 2023,Thursday
Independence Day,August 15 2023,Tuesday
Ganesh Chaturthi ,September 19 2023,Tuesday
Mahatma Gandhi Jayanti,October 02 2023,Monday
Dussehra,October 24 2023,Tuesday
Diwali-Balipratipada,November 14 2023,Tuesday
Gurunanak Jayanti,November 27 2023,Monday
Christmas,December 25 2023,Monday
Mahashivratri,February 18 2023,Saturday
Id-Ul-Fitr (Ramzan ID),April 22 2023,Saturday
Moharram,July 29 2023,Saturday
Diwali-Laxmi Pujan*,November 12 2023,Sunday
Republic Day,January 26 2024,Friday
Maha Shivaratri,March 08 2024,Friday
Holi,March 25 2024 ,Monday
Good Friday,March 29 2024,Friday
Eid-Ul-Fitr (Ramzan Eid),April 11 2024,Thursday
Ram Navami,April 17 2024,Wednesday
Maharashtra Day, May 01 2024,Wednesday
Parliamentary Elections,May 20 2024,Monday
Bakri Eid,June 17 2024,Monday
Moharram,July 17 2024,Wednesday
Independence Day,August 15 2024,Thursday
Mahatma Gandhi Jayanti,October 02 2024,Wednesday
Diwali-Laxmi Pujan* ,November 01 2024,Friday
Gurunanak Jayanti,November 15 2024,Friday
Christmas,December 25 2024,Wednesday
Dr.Baba Saheb Ambedkar Jayanti, April 14 2024,Sunday
Mahavir Jayanti,April 21 2024,Sunday
Ganesh Chaturthi,September 07 2024,Saturday
Dussehra,October 12 2024,Saturday
Diwali-Balipratipada,November 02 2024,Saturday
